name,collection,age,pieces,rating,price,discount
Król Lew — młody Simba,Marvel,18+,1445,4.7,"619,99 zł",0
Magiczny dom Madrigalów,Marvel,7+,1560,,"749,99 zł",0
Szkatułka na biżuterię z Królewną Śnieżką,Marvel,6+,358,,"209,99 zł",0
Król Lew — lwiątko Simba,Marvel,6+,222,4.9,"89,99 zł",0
Mały zamek Śpiącej Królewny Disneya,Marvel,12+,528,5.0,"179,99 zł",0
Zamek Disneya,Marvel,18+,4837,4.8,"1899,99 zł",0
Chatka Królewny Śnieżki i siedmiu krasnoludków,Marvel,18+,2228,4.9,"1049,99 zł",0
Doniczka Vaiany,Marvel,9+,619,4.8,"199,99 zł",0
Lodowy pałac Elzy,Marvel,6+,630,,"479,99 zł",0
Stitch,Marvel,9+,730,4.7,"299,99 zł",0
Kamera Walta Disneya,Marvel,18+,811,4.7,"479,99 zł",0
Dom z bajki „Odlot”,Marvel,9+,598,4.2,"259,99 zł",0
Miniaturowy zamek Disneya,Marvel,12+,567,4.6,"179,99 zł",0
Ikony złoczyńców,Marvel,18+,1540,4.9,"659,99 zł",0
Disney Mały zamek Arielki,Marvel,12+,557,4.4,"179,99 zł",0
Stitch,Marvel,10+,152,4.9,"44,99 zł",0
EWA i WALL-E,Marvel,10+,155,4.9,"69,99 zł",0
